CustomerID,InvoiceDate,InvoiceNo,Quantity,UnitPrice
CUST_00026,2025-06-17 09:08:05,INV-20250617-0110,45,21.24
CUST_00110,2025-06-14 03:09:05,INV-20250614-0419,4,199.36
CUST_00134,2025-08-19 21:59:05,INV-20250819-0565,9,61.64
CUST_00015,2025-07-03 00:53:05,INV-20250703-0077,89,663.6
CUST_00029,2025-07-06 03:28:05,INV-20250706-0181,63,507.69
CUST_00060,2025-07-07 20:41:05,INV-20250707-0284,2,167.27
CUST_00008,2025-07-15 05:19:05,INV-20250715-0010,81,266.19
CUST_00054,2025-08-13 08:58:05,INV-20250813-0469,31,165.9
CUST_00021,2025-05-30 18:44:05,INV-20250530-0078,64,558.81
CUST_00038,2025-08-22 04:00:05,INV-20250822-0349,8,35.45
CUST_00006,2025-07-20 00:13:05,INV-20250720-0055,27,440.05
CUST_00022,2025-06-01 18:28:05,INV-20250601-0118,57,916.1
CUST_00019,2025-07-29 14:59:05,INV-20250729-0109,39,429.98
CUST_00132,2025-06-19 14:16:05,INV-20250619-0588,7,54.94
CUST_00105,2025-07-19 17:09:05,INV-20250719-0369,21,98.44
CUST_00013,2025-06-15 23:33:05,INV-20250615-0234,62,523.73
CUST_00030,2025-08-14 11:08:05,INV-20250814-0030,70,515.64
CUST_00022,2025-07-06 21:09:05,INV-20250706-0212,1,341.02
CUST_00007,2025-07-19 10:47:05,INV-20250719-0184,64,175.06
CUST_00017,2025-06-30 22:29:05,INV-20250630-0086,12,394.29
CUST_00004,2025-06-22 05:27:05,INV-20250622-0002,53,970.21
CUST_00122,2025-06-30 15:56:05,INV-20250630-0587,17,51.24
CUST_00039,2025-08-01 04:01:05,INV-20250801-0535,25,165.78
CUST_00139,2025-06-17 18:49:05,INV-20250617-0596,12,75.71
CUST_00053,2025-08-17 17:58:05,INV-20250817-0368,15,52.48
CUST_00041,2025-08-01 16:55:05,INV-20250801-0539,21,106.68
CUST_00028,2025-06-03 09:09:05,INV-20250603-0072,6,61.16
