CustomerID,segment
CUST_0001,0
CUST_0002,0
CUST_0003,0
CUST_0004,0
CUST_0005,0
CUST_0006,0
CUST_0007,0
CUST_0008,0
CUST_0009,0
CUST_0010,0
CUST_0011,0
CUST_0012,0
CUST_0013,0
CUST_0014,0
CUST_0016,-1
CUST_0017,0
CUST_0018,0
CUST_0019,0
CUST_0020,0
CUST_0021,0
CUST_0022,0
CUST_0023,0
CUST_0024,0
CUST_0025,0
CUST_0026,0
CUST_0027,0
CUST_0028,0
CUST_0029,0
CUST_0030,0
CUST_0031,0
CUST_0032,0
CUST_0033,0
CUST_0034,0
CUST_0035,0
CUST_0036,0
CUST_0037,0
CUST_0038,0
CUST_0039,-1
CUST_0040,0
CUST_0041,-1
CUST_0042,0
CUST_0043,0
CUST_0044,0
CUST_0045,0
CUST_0046,0
CUST_0047,0
CUST_0048,0
CUST_0049,0
CUST_0050,0
CUST_0051,0
CUST_0052,0
CUST_0053,0
CUST_0054,0
CUST_0055,0
CUST_0056,0
CUST_0057,0
CUST_0058,0
CUST_0059,0
CUST_0060,0
CUST_0061,0
CUST_0062,0
CUST_0063,0
CUST_0064,0
CUST_0066,-1
CUST_0067,0
CUST_0068,-1
CUST_0069,0
CUST_0070,0
CUST_0071,0
CUST_0072,0
CUST_0073,0
CUST_0074,0
CUST_0075,0
CUST_0076,0
CUST_0077,0
CUST_0078,0
CUST_0079,0
CUST_0080,0
CUST_0081,0
CUST_0082,0
CUST_0083,0
CUST_0084,0
CUST_0085,0
CUST_0086,0
CUST_0087,0
CUST_0088,0
CUST_0089,0
CUST_0090,0
CUST_0091,0
CUST_0092,0
CUST_0093,0
CUST_0094,-1
CUST_0095,0
CUST_0096,0
CUST_0097,0
CUST_0098,0
CUST_0100,0
CUST_0101,0
CUST_0103,2
CUST_0104,0
CUST_0105,0
CUST_0106,0
CUST_0107,0
CUST_0108,0
CUST_0110,0
CUST_0111,0
CUST_0112,0
CUST_0113,0
CUST_0114,0
CUST_0115,0
CUST_0116,0
CUST_0117,0
CUST_0118,0
CUST_0119,0
CUST_0120,0
CUST_0121,0
CUST_0122,-1
CUST_0123,0
CUST_0124,0
CUST_0125,0
CUST_0126,0
CUST_0127,0
CUST_0128,0
CUST_0129,0
CUST_0130,0
CUST_0131,0
CUST_0132,0
CUST_0133,0
CUST_0134,0
CUST_0135,0
CUST_0136,0
CUST_0137,0
CUST_0138,0
